2022/11/25 18:03:50 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:03:51 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:03:53 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:03:57 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:04:06 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:04:22 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:08:32 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/25 18:09:43 WARNING - [MqttManager.py : 92] Connection error: not authorised
2022/11/26 20:51:17 INFO - [MqttManager.py : 90] Successfully connected to MQTT broker
2022/11/26 20:51:17 INFO - [MqttManager.py : 90] Successfully connected to MQTT broker
2022/11/26 21:26:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:26:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:44 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:52 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:55 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:27:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:28:00 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:28:01 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:28:03 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:53 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:57 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:30:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:01 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:02 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:03 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:04 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:06 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:07 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:08 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:09 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:11 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:12 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:13 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:15 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:16 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:17 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:18 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:20 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:21 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:22 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:23 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:25 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:26 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:27 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:28 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:30 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:31 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:32 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:34 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:31:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
